date,InstrumentTelemetry.mean_H1,InstrumentTelemetry.mean_S1,InstrumentTelemetry.mean_T1,InstrumentTelemetry.mean_T2
8/6/2018 2:34:26.000000000 PM,0.8333333333333334,-120.02,6.2200000000000015,18.713333333333335
8/6/2018 2:47:24.000000000 PM,0,-120.02000000000001,16.77111111111111,34.653333333333336
8/6/2018 3:00:22.000000000 PM,0,-120.02,5.882499999999999,36.56125
8/6/2018 3:13:20.000000000 PM,0,-120.02,-11.016666666666667,36.84799999999999
8/6/2018 3:26:18.000000000 PM,0,-120.02,-24.96666666666667,37.90500000000001
8/6/2018 3:39:16.000000000 PM,0,-120.02,-37.52571428571429,37.39714285714285
8/6/2018 3:52:14.000000000 PM,0,-120.02,-48.56666666666666,37.27833333333333
8/6/2018 4:05:12.000000000 PM,0,-120.02,-58.24714285714284,38.08428571428572
8/6/2018 4:18:10.000000000 PM,0,-120.02,-66.71875,38.06125
8/6/2018 4:31:08.000000000 PM,0,-120.02,-73.87666666666667,37.78666666666667
8/6/2018 4:44:06.000000000 PM,0,-120.02,-80.66571428571429,38.38857142857143
8/6/2018 4:57:04.000000000 PM,0,-120.02,-86.78166666666665,37.178333333333335
8/6/2018 5:10:02.000000000 PM,0,-120.02,-91.82857142857144,36.72428571428571
8/6/2018 5:23:00.000000000 PM,0,-120.02,-95.865,34.82666666666666
8/6/2018 5:35:58.000000000 PM,0,-120.02,-99.16999999999999,34.85857142857143
8/6/2018 5:48:56.000000000 PM,0,-120.02,-101.91333333333334,34.25666666666667
8/6/2018 6:01:54.000000000 PM,0,-120.02,-104.30285714285716,34.104285714285716
8/6/2018 6:14:52.000000000 PM,0,-120.02,-106.31166666666667,33.846666666666664
8/6/2018 6:27:50.000000000 PM,0,-120.02,-108.07428571428572,32.994285714285716
8/6/2018 6:40:48.000000000 PM,0,-120.02,-109.635,32.63
8/6/2018 6:53:46.000000000 PM,0,-120.02,-110.95285714285716,32.42285714285715
8/6/2018 7:06:44.000000000 PM,0,-120.02,-112.18833333333333,31.296666666666663
8/6/2018 7:19:42.000000000 PM,0,-120.02,-113.27285714285715,30.84428571428571
8/6/2018 7:32:40.000000000 PM,0,-120.02,-114.26333333333334,30.100000000000005
8/6/2018 7:45:38.000000000 PM,0,-120.02000000000001,-115.2376190476191,29.56523809523809
8/6/2018 7:58:36.000000000 PM,0,-120.02000000000001,-115.88499999999999,29.78
8/6/2018 8:11:34.000000000 PM,0.21749999999999994,-120.02,-116.74083333333334,26.238333333333333
8/6/2018 8:24:32.000000000 PM,0,-120.02,-117.27250000000001,29.39875
8/6/2018 8:37:30.000000000 PM,0,-120.02,-117.91428571428573,29.465714285714284
8/6/2018 8:50:28.000000000 PM,0,-120.02,-118.52333333333333,29.748333333333335
8/6/2018 9:03:26.000000000 PM,0,-120.02,-119.12923076923077,28.843076923076918
8/6/2018 9:16:24.000000000 PM,0,-120.02,-119.56166666666667,29.24
8/6/2018 9:29:22.000000000 PM,0,-120.02,-120.00571428571428,29.81714285714286
8/6/2018 9:42:20.000000000 PM,0,-120.02,-120.42500000000001,29.923333333333332
8/6/2018 9:55:18.000000000 PM,0.37,-120.02,-120.63,29.314285714285717
8/6/2018 10:08:16.000000000 PM,0.6649999999999999,-120.02,-119.96666666666665,29.646666666666665
8/6/2018 10:21:14.000000000 PM,0.33571428571428574,-120.02,-120.13714285714286,28.96142857142857
8/6/2018 10:34:12.000000000 PM,1.4274999999999998,-120.02,-120.36999999999999,23.99
8/6/2018 10:47:10.000000000 PM,0.5233333333333333,-120.02,-119.65833333333332,28.728333333333335
8/6/2018 11:00:08.000000000 PM,0.3028571428571429,-120.02,-120.30285714285715,28.271428571428572
8/6/2018 11:13:06.000000000 PM,0.8466666666666667,-120.02,-120.13666666666666,28.511666666666667
8/6/2018 11:26:04.000000000 PM,0.6185714285714285,-120.02,-120.00428571428571,28.02
8/6/2018 11:39:02.000000000 PM,0.65,-120.02,-120.10000000000001,28.471666666666668
8/6/2018 11:52:00.000000000 PM,0.67,-120.02,-120.14,28.001428571428573
